Row,Train Error,Validation Error
0,6.0092244,6.8789268
1,5.924289,5.9878335
2,5.494767,4.969586
3,5.228029,4.859427
4,5.0569677,5.5421567
5,4.819331,4.759957
6,4.5805707,4.4651103
7,4.354795,4.5408564
8,4.0880957,4.2071457
9,3.9847941,3.8451753
10,3.7541292,3.868829
11,3.613557,3.5120454
12,3.4001212,3.3359394
13,3.2643855,3.1972754
14,3.0440753,3.1942418
15,2.8912,2.8179903
16,2.7737236,2.8824968
17,2.6309721,2.662474
18,2.464531,2.3877945
19,2.3978438,2.2362378
20,2.286944,2.4854162
21,2.1298916,1.9434708
22,2.0196948,1.9528292
23,1.883394,2.1831918
24,1.871249,2.0364497
25,1.778846,1.5210773
26,1.613475,1.7954488
27,1.5622869,1.6579685
28,1.4146222,1.2797141
29,1.3919739,1.1697549
30,1.3253771,1.5068341
31,1.2754774,1.0926867
32,1.1780416,1.0131364
33,1.0910172,1.3871807
34,1.0753764,1.3381302
35,1.0090085,0.8308762
36,1.001286,0.9333921
37,0.9468931,1.1071165
38,0.80848086,0.66786546
39,0.86197716,0.6144884
40,0.7677407,0.79683673
41,0.7322525,0.8436278
42,0.68906325,0.52907014
43,0.67255205,0.74637896
44,0.5978724,0.8379167
45,0.5986265,0.61888665
46,0.61291975,0.4747166
47,0.5698297,0.74321413
48,0.5223414,0.4883784
49,0.54100496,0.45394877
50,0.50865936,0.422029
51,0.45748433,0.63176924
52,0.4883384,0.30663723
53,0.4148939,0.3906934
54,0.4070782,0.54169136
55,0.3848352,0.46559948
56,0.3568197,0.27524558
57,0.36900324,0.45359787
58,0.34355223,0.40812036
59,0.32888478,0.26476422
60,0.3263079,0.23570637
61,0.30385444,0.3981393
62,0.29001388,0.26916236
63,0.27526742,0.21109463
64,0.28305173,0.36188293
65,0.26396078,0.3336342
66,0.25474334,0.22736102
67,0.25085393,0.24445416
68,0.23353077,0.2855771
69,0.22290878,0.19605985
70,0.20875467,0.15590888
71,0.20292489,0.2126738
72,0.2004419,0.23798798
73,0.20360291,0.14609645
74,0.19143283,0.19434527
75,0.1881982,0.21777967
76,0.16922411,0.17574653
77,0.15885109,0.12977171
78,0.15898547,0.18652338
79,0.15683177,0.1485044
80,0.1508957,0.13754725
81,0.14140001,0.11188652
82,0.13216975,0.1746922
83,0.12791112,0.09962739
84,0.12778082,0.10199367
85,0.12133813,0.1555612
86,0.11299543,0.12929986
87,0.11089838,0.082128294
88,0.0987117,0.107071444
89,0.09449939,0.12194107
90,0.098960206,0.0717587
91,0.089631386,0.058758214
92,0.088331565,0.11060814
93,0.084953114,0.091483176
94,0.08232787,0.050224762
95,0.081239484,0.10287964
96,0.07287305,0.09108958
97,0.06501914,0.07125723
98,0.07305899,0.060172632
99,0.063705415,0.07671051
100,0.06361161,0.052353393
101,0.05903754,0.039416302
102,0.051426273,0.05169701
103,0.05190134,0.07267228
104,0.054842446,0.038412075
105,0.05567421,0.056239776
106,0.047186483,0.06109583
107,0.0429658,0.050645098
108,0.04629349,0.028045995
109,0.047230694,0.050737467
110,0.04087822,0.037908025
111,0.034828838,0.031375237
112,0.039464895,0.025155907
113,0.0352443,0.05042634
114,0.0366819,0.026722642
115,0.034059916,0.027325494
116,0.03063394,0.04791538
117,0.030341275,0.035602994
118,0.027085507,0.02125318
119,0.02784505,0.02643891
120,0.028740158,0.031379342
121,0.025812892,0.016768625
122,0.025204696,0.013568723
123,0.02432079,0.031489935
124,0.024395484,0.026375437
125,0.02357397,0.011320076
126,0.02039733,0.029621748
127,0.01878804,0.02449143
128,0.01913059,0.019279782
129,0.019699574,0.015052809
130,0.017660523,0.018928243
131,0.016056295,0.014778662
132,0.015922561,0.010636215
133,0.015689686,0.012967333
134,0.014497682,0.019983003
135,0.0143487835,0.008537366
136,0.012627636,0.01458058
137,0.012232685,0.016834484
138,0.012201996,0.0122588035
139,0.011819574,0.0062318565
140,0.011090607,0.012729583
141,0.009769914,0.009389193
142,0.00985498,0.0061408025
143,0.009973715,0.0061347205
144,0.009392183,0.012032194
145,0.009011814,0.0064405766
146,0.007793328,0.0063144336
147,0.007654902,0.012501135
148,0.006703451,0.0071519995
149,0.00675121,0.005540172
150,0.006801146,0.0070303804
151,0.0062376866,0.007148288
152,0.0058230367,0.0045405715
153,0.0061556417,0.0034826351
154,0.0055218292,0.007368631
155,0.004816656,0.006891065
156,0.004471838,0.002537625
157,0.0045747994,0.00645338
158,0.0045719217,0.004385776
159,0.004275195,0.0046016253
160,0.0034989647,0.003402021
161,0.0035416933,0.0031498165
162,0.0036513559,0.00425175
163,0.0033894063,0.0028944744
164,0.003257555,0.0026940564
165,0.002955678,0.004250292
166,0.0026616547,0.0022964664
167,0.0026667463,0.002310651
168,0.0030134025,0.0034585337
169,0.0028327955,0.002057038
170,0.0025900924,0.0014829149
171,0.0023979375,0.0020980882
172,0.0023927358,0.001896285
173,0.002052246,0.0014621927
174,0.0018871403,0.0017346289
175,0.001853347,0.0021005708
176,0.001823173,0.0019656534
177,0.0019519551,0.0015149483
178,0.0017404298,0.0023801108
179,0.0018755201,0.00091093185
180,0.0014569146,0.0018001322
181,0.0016199137,0.0014454882
182,0.0016835222,0.0013232729
183,0.0014995524,0.0016182549
184,0.0015723711,0.0015911066
185,0.0013378727,0.0016638446
186,0.001412158,0.0018405352
187,0.0012953198,0.0013976473
188,0.0013493454,0.0015377126
189,0.0013760128,0.0008259008
190,0.0012549609,0.0011570794
191,0.0011680361,0.0012486812
192,0.0011645394,0.00061934907
193,0.0011272441,0.001323275
194,0.0010916716,0.0012775938
195,0.0010714807,0.00093175273
196,0.0009548189,0.0011697415
