Row,Train Error,Validation Error
0,222.75877,68.48833
1,187.30171,265.23547
2,189.05421,272.21048
3,182.61906,117.47818
4,186.45396,260.4449
5,162.21292,85.457016
6,182.43669,62.509415
7,165.04617,238.28854
8,198.58714,244.98283
9,190.92398,105.4333
10,137.41911,233.8426
11,161.19495,76.77561
12,176.31865,56.96022
13,173.64166,214.43536
14,154.20288,219.5139
15,164.38528,94.323425
16,140.35155,209.27179
17,114.18992,68.75392
18,122.55813,51.790195
19,165.12363,191.81798
20,141.55075,195.9375
21,140.44952,89.382355
22,137.62654,186.51231
23,164.4113,61.338795
24,111.36044,46.97655
25,113.95075,170.87552
26,108.592606,173.91621
27,142.76735,74.57232
28,108.873634,165.40355
29,122.2348,54.483494
30,93.763985,42.493206
31,99.71039,151.17781
32,98.74015,153.90175
33,116.49445,65.79988
34,123.32125,145.89192
35,101.051,48.1522
36,96.42503,38.318188
37,122.374,133.53821
38,102.20399,135.23943
39,95.77157,57.72418
40,102.963715,127.87329
41,79.79496,42.33202
42,81.66985,34.435535
43,91.767204,116.9468
44,82.148476,118.020676
45,92.02078,53.39501
46,62.38835,111.28503
47,85.173256,36.9897
48,73.12249,30.837553
49,70.20856,101.69108
50,79.72504,102.08858
51,74.68815,43.535534
52,78.44022,96.05367
53,58.064335,32.13244
54,73.13097,27.526354
55,71.55767,87.64515
56,68.06715,87.73332
57,69.63427,37.395145
58,53.26161,82.20112
59,54.322342,27.74071
60,53.149277,24.493826
61,50.96092,75.06054
62,55.79835,74.63657
63,46.037746,31.883163
64,48.257195,69.6647
65,43.33011,23.821592
66,39.973488,21.737486
67,42.191994,63.627018
68,48.04094,62.861366
69,41.785683,28.502962
70,43.21006,58.45202
71,42.83023,20.349472
72,38.971035,19.249168
73,37.532974,53.40431
74,36.305412,52.36586
75,40.400913,22.681383
76,41.360695,48.50902
77,33.631794,17.326982
78,34.84529,17.029268
79,33.73304,44.402603
80,29.379827,43.184753
81,36.959232,18.961132
82,28.885466,39.792355
83,28.208313,14.728558
84,29.859636,15.066097
85,28.382301,36.55681
86,30.517305,35.21509
87,27.940826,15.803386
88,24.784378,32.318066
89,20.855068,12.553311
90,24.386559,13.356126
91,23.96204,29.844584
92,22.156944,28.437813
93,20.692743,13.744961
94,17.544987,26.007357
95,21.86981,10.772853
96,24.559765,11.888815
97,20.150423,24.221165
98,19.115704,22.850157
99,17.709925,11.101413
100,16.466148,20.827105
101,14.652108,9.373809
102,16.33499,10.65663
103,17.33878,19.691069
104,14.659598,18.301182
105,16.177643,9.505921
106,15.418454,16.737898
107,13.328281,8.356452
108,12.629809,9.682773
109,13.389538,16.110958
110,13.019232,14.877829
111,12.917172,8.418529
112,11.085304,13.688076
113,11.939476,7.7066274
114,11.630614,8.929265
115,10.756039,13.466306
116,9.910809,12.381147
117,11.315753,7.8356624
118,10.918598,11.484992
119,10.442908,7.3067594
120,10.593803,8.328408
121,10.306986,11.552633
122,9.113474,10.657422
123,9.075004,7.2882013
124,9.590607,9.950219
125,8.933292,7.0618954
126,8.441054,7.843846
127,9.151334,10.232306
128,8.35973,9.420314
129,8.857316,7.0353026
130,8.478152,8.926434
131,8.680284,6.8872476
132,8.643094,7.4531264
133,8.43445,9.3312845
134,8.675765,8.650506
135,8.179343,6.886455
136,7.8702164,8.284501
137,7.866525,6.745457
138,7.7760744,7.1375637
139,8.010899,8.7565
140,8.107728,8.1742935
141,7.4253526,6.8150983
142,7.6385717,7.905102
143,7.687165,6.6234236
144,7.7537346,6.8785367
145,7.5969143,8.392698
146,7.3716536,7.9302554
147,7.3835506,6.684998
148,7.507588,7.6898217
149,7.456468,6.514639
150,7.411917,6.6605315
151,7.23685,8.153243
152,7.4153776,7.7353806
153,7.224933,6.6033173
154,7.192757,7.568198
155,7.350716,6.414784
156,7.0159936,6.4735594
157,7.0612726,7.9948306
158,7.1995296,7.6380687
159,7.238126,6.5284724
160,7.2758245,7.4954176
161,6.8507032,6.3221607
162,7.0983853,6.3064985
163,7.078051,7.86432
164,7.1335473,7.5714617
165,7.017409,6.5114856
166,6.960462,7.4452424
167,6.9223957,6.23392
168,7.035586,6.1535106
169,6.9356976,7.746446
170,6.9734874,7.5416193
171,6.9606934,6.3924212
172,6.7417555,7.4014053
173,7.082772,6.1489153
174,6.656534,6.008042
175,6.8350315,7.61423
176,6.9584475,7.4642253
177,6.979216,6.329752
178,6.815797,7.359253
179,6.842489,6.0678263
