Row,Train Error,Validation Error
0,1.5890803,1.470816
1,1.4925061,1.740338
2,1.2190621,1.5551778
3,1.0936549,0.7685262
4,0.87816995,0.6775875
5,0.93186176,1.1980112
6,0.8332809,0.6704332
7,0.82615626,0.45249355
8,0.71276355,0.7179404
9,0.649965,0.64308184
10,0.624893,0.59378093
11,0.6391577,0.544735
12,0.45420536,0.69724566
13,0.49668682,0.25705817
14,0.5695597,0.49142176
15,0.50184834,0.5904454
16,0.43901855,0.54969454
17,0.35635436,0.42792836
18,0.33325636,0.502333
19,0.39468205,0.32028708
20,0.31195354,0.36496806
21,0.32864597,0.39075282
22,0.40089568,0.42538863
23,0.34263656,0.25142026
24,0.31693715,0.20868772
25,0.2868042,0.37569812
26,0.24638514,0.18292874
27,0.3168222,0.21572632
28,0.27131486,0.3309761
29,0.2573201,0.28192276
30,0.2636146,0.18917397
31,0.25664547,0.26712722
32,0.23957612,0.29257464
33,0.26727247,0.20827217
34,0.25163767,0.22981186
35,0.22674835,0.28807062
36,0.26219532,0.27016678
37,0.27133605,0.20013674
38,0.19110033,0.25682753
39,0.17896418,0.25888366
40,0.18385702,0.16154797
41,0.20438614,0.19623905
42,0.22512706,0.18753831
43,0.19755666,0.17303225
44,0.15012318,0.15886225
45,0.15562102,0.2163765
46,0.13565382,0.16043323
47,0.15082406,0.14872615
48,0.1840784,0.1608467
49,0.2022201,0.14018501
50,0.15915416,0.1341457
51,0.13684818,0.18150343
52,0.15894929,0.17417572
53,0.11927846,0.11320562
54,0.15072633,0.13331617
55,0.21796608,0.16534525
56,0.11151591,0.16703358
57,0.10325975,0.1301462
58,0.13451014,0.156023
59,0.10061048,0.15452832
60,0.10218717,0.11198911
61,0.09558422,0.10783956
62,0.096274994,0.14781909
63,0.11863739,0.10842451
64,0.15561277,0.10641937
65,0.085793324,0.09739594
66,0.11923945,0.13101985
67,0.11504739,0.07287481
68,0.08578155,0.08396837
69,0.11331122,0.12476012
70,0.07736395,0.09387952
71,0.11238721,0.07224762
72,0.17357486,0.119350165
73,0.108485565,0.1162296
74,0.07008144,0.070003554
75,0.10111945,0.109008335
76,0.13140571,0.11390546
77,0.10263324,0.089776695
78,0.09275129,0.06660661
79,0.060393818,0.10395953
80,0.12344571,0.09101887
81,0.09061587,0.08231701
82,0.059228756,0.0976922
83,0.06131325,0.08058267
84,0.08790288,0.08207483
85,0.05691918,0.0508332
86,0.08721852,0.08898406
87,0.049436595,0.07558226
88,0.04857991,0.045238324
89,0.04809186,0.093774125
90,0.08096247,0.071661934
91,0.07729314,0.043507457
92,0.07813149,0.09016618
93,0.045185838,0.08349729
94,0.042445857,0.035592545
95,0.074249774,0.081386276
96,0.041245773,0.08479419
97,0.07539404,0.07186196
98,0.038579717,0.037583187
99,0.1028024,0.077296585
100,0.03675215,0.06612222
101,0.06980795,0.034418546
